,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
168,"Hurtige Hænder - Acoustic Version - Moyo Live P3","The Minds Of 99",70610,https://open.spotify.com/track/3D0VPp6nCN9dsyUjFv2BvP
169,"Nådig (feat. NODE)","Larry 44",70438,https://open.spotify.com/track/31qCRqNGYDbnAs143bWUBa
170,"Alle Skuffer Over Tid - Single Edit","The Minds Of 99",70227,https://open.spotify.com/track/6a2itcAnQzfViAiAly2Eg8
171,"Sig Mig",Citybois,70103,https://open.spotify.com/track/17ShCJoRij5Ob7BTR9Q1rm
172,"This City","Sam Fischer",70097,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
173,"Snakker For Meget",Tessa,69008,https://open.spotify.com/track/5WvK9QLls6WikBoh5RrroV
174,"Winter Season (feat. Gilli)",Amina,68764,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
175,"Love Someone","Lukas Graham",68757,https://open.spotify.com/track/0OCRwXbQRdOZ1OtB4Imsp1
176,Sunshine,Amina,68477,https://open.spotify.com/track/5Az6J1YuwRTkYgbYy9kOls
177,næ,"Ude Af Kontrol",68032,https://open.spotify.com/track/23jbwmkkrvGJhz1J6vAXii
178,"Kom Over",KESI,67854,https://open.spotify.com/track/6Lu7LCf7t7V6X7i4NQywcT
179,"Lucid Dreams","Juice WRLD",67573,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
180,Savage,"Megan Thee Stallion",67472,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
181,Balou,"Benny Jamz",67038,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0
182,"Som Fluer","The Minds Of 99",66120,https://open.spotify.com/track/4diMl3ee8zco6asVZNKjti
183,"IDK You Yet","Alexander 23",65497,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
184,Skechers,DripReport,65435,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
185,"Jeg Vil La' Lyset Brænde","Ray Dee Ohh",65183,https://open.spotify.com/track/1rRcFwE1ydO2Y5jSmk1UIs
186,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",64564,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
187,Light,Jerome,64266,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
188,"Ka Du Ik",Omar,64181,https://open.spotify.com/track/4jm5AHENFhFjz5m9kXgwQ9
189,"10,000 Hours (with Justin Bieber)","Dan + Shay",63947,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
190,Oui,Sivas,63632,https://open.spotify.com/track/7j8K8PE1tO2TvhY15E8ZcD
191,Sydpå,Bro,63480,https://open.spotify.com/track/1lahfyqBPVvBIxf3XgmQmZ
192,"you broke me first","Tate McRae",63156,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
193,"Sweet but Psycho","Ava Max",62975,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
194,"Sidechick (Carmon X Jamaika)",Carmon,62900,https://open.spotify.com/track/7M9YbTUwskBoI42Vj4Rkqq
195,"Don't Rush (feat. Headie One)","Young T & Bugsey",62751,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
196,"lovely (with Khalid)","Billie Eilish",62524,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
197,Thorns,Faustix,62177,https://open.spotify.com/track/6DuE8kXIDJ3oiCibWXmgeN
198,Pizza,ADHD,62038,https://open.spotify.com/track/6Eily61EQjZCcbvYHuCNcJ
199,"Go Crazy","Chris Brown",61360,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
200,"Ingen skyer solen skinner",Sivas,60895,https://open.spotify.com/track/07duxtZVaYIvSk4lIikPw0
