,Position,Track Name,Artist,Streams,URL,date,uri_x,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,uri_y
1824,25,No Time To Die,Billie Eilish,208738,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,2020-03-06,spotify:track:73SpzrcaHk0RQPFP73vqVR,2020-02-13,242265,0.38,0.917,0.219,0.0104,0.0827,-13.273,0.0358,0.0517,73.537,4,spotify:track:73SpzrcaHk0RQPFP73vqVR
1825,26,death bed (coffee for your head),Powfu,206831,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-03-06,spotify:track:7eJMfftS33KTjuF7lTsMCx,2020-02-08,173333,0.726,0.731,0.431,0.0,0.696,-8.765,0.135,0.348,144.026,4,spotify:track:7eJMfftS33KTjuF7lTsMCx
1826,27,Falling,Trevor Daniel,205152,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-03-06,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,2018-10-05,159381,0.785,0.123,0.431,0.0,0.0887,-8.756,0.0364,0.236,127.085,4,spotify:track:4TnjEaWOeW0eKTKIEvJyCa
1827,28,Before You Go,Lewis Capaldi,201671,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-03-06,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,2019-11-22,215106,0.459,0.604,0.575,0.0,0.0885,-4.858,0.0573,0.183,111.881,4,spotify:track:2gMXnyrvIjhVBUZwvLZDMP
1828,29,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,198613,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,2020-03-06,spotify:track:4QPEwDdOMhY7rNS05mTyMR,2019-12-13,216706,0.817,0.00838,0.781,5.21e-06,0.123,-4.178,0.112,0.359,104.0,4,spotify:track:4QPEwDdOMhY7rNS05mTyMR
1829,30,Adore You,Harry Styles,191449,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-03-06,spotify:track:3jjujdWJ72nww5eGnfs2E7,2019-12-13,207133,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,0.569,99.048,4,spotify:track:3jjujdWJ72nww5eGnfs2E7
1830,31,everything i wanted,Billie Eilish,191241,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-03-06,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,2019-11-13,245425,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,0.243,120.006,4,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
1831,32,Circles,Post Malone,190620,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-03-06,spotify:track:21jGcNKet2qwijlDFuPiPb,2019-09-06,215280,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,4,spotify:track:21jGcNKet2qwijlDFuPiPb
1832,33,Salt,Ava Max,186852,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV,2020-03-06,spotify:track:7vgv8KZBSo0TPzyIWG9yzV,2019-12-12,180283,0.693,0.131,0.835,0.0,0.073,-3.242,0.0623,0.743,128.057,4,spotify:track:7vgv8KZBSo0TPzyIWG9yzV
1833,34,Life Is Good (feat. Drake),Future,185198,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020-03-06,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-10,237735,0.676,0.0706,0.609,0.0,0.152,-5.831,0.481,0.508,142.037,4,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc
1834,35,Po Po,ZK,182885,https://open.spotify.com/track/3g1yNMutQGZUmcaVArVaf2,2020-03-06,spotify:track:3g1yNMutQGZUmcaVArVaf2,2020-02-21,163553,0.826,0.382,0.617,0.0,0.135,-5.571,0.0589,0.785,114.026,4,spotify:track:3g1yNMutQGZUmcaVArVaf2
